ProjectID,ProjectDuration,TotalSpent,TotalBudget,CPI,StartingDate,FinishDate,ProjectYear,WorkTypeId,ProjectCategoryId,ProjectTypeId,City,ProjectAreaCode,ProjectDirectors,ClientName,AreaName,CountryName,MainDesignOffice,Budgetspentpercentage
2989,10,2563.25,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,20,2659.25,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,30,2986.5,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,40,5225,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,50,6386.75,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,60,6636.5,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,70,7675,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,80,9565.4,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,90,10309.75,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2989,100,10444.25,NULL,0,NULL,NULL,NULL,1,4,1,Sur,50,Bassem Nsouli,SUPREME COMMITTEE FOR TOWN PLANNING,Oman,Oman,38,0
2992,90,63037.85,4210.75,16.63,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,1497.07
2992,100,64029,4210.75,15.21,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,1520.61
2992,30,35331.15,4210.75,27.97,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,839.07
2992,40,44437.1,4210.75,26.38,28/02/2007 0:00,20/06/2014 0:00,2007,3,2,1,Dakar,55,Bashar Rihani,SBG,Senegal,Senegal,38,1055.33
